Date,Open,High,Low,Close
2020-01-02,150.0902625907942,151.93353980620552,149.6648931447306,151.82955932617188
2020-01-03,149.65547107455467,151.19625463787472,149.40969112155793,149.9390411376953
2020-01-06,148.48324631955307,150.392698754351,147.94443465072618,150.32652282714844
2020-01-07,150.60074160336796,150.93157814835348,148.7101976078873,148.95596313476562
2020-01-08,150.23203354534573,151.9997015405678,149.3056712613287,151.32855224609375
2020-01-09,152.98278300469048,153.34199090041147,152.21711516271918,153.21910095214844
2020-01-10,153.90912893108236,154.2872318018375,152.3588696593664,152.51011657714844
2020-01-13,152.90720705247546,154.37238166681487,152.43457101066966,154.34402465820312
2020-01-14,154.4479955666148,154.6465090382684,152.86939301592614,153.2569580078125
2020-01-15,153.7201159716805,154.96788183722586,153.67286391435027,154.2494659423828
2020-01-16,155.35541857174925,157.1419816102334,155.05292468702913,157.0758056640625
2020-01-17,158.2574203045993,158.30468678450072,156.37632402467744,157.95494079589844
2020-01-21,157.55789835006,158.98526801417273,157.32158039758605,157.38775634765625
2020-01-22,158.2385207305779,158.32360616920698,156.61265180141203,156.63156127929688
2020-01-23,157.09471026471257,157.6713265938342,156.22506200867213,157.595703125
2020-01-24,158.34249802467247,158.36140750217533,155.44996818605821,156.00767517089844
2020-01-27,152.33058067464225,154.43854767013838,151.43257513790093,153.39874267578125
2020-01-28,154.81659911684454,156.68823305925625,154.1454642817214,156.4046630859375
2020-01-29,158.65439337526382,159.5145940552649,156.62206505752158,158.84344482421875
2020-01-30,164.52459617062672,164.52459617062672,161.4430001878777,163.3240966796875
2020-01-31,162.78529948092563,162.964889047235,160.29922947457416,160.9136505126953
2020-02-03,161.10265199098285,164.9499148069927,161.07429499333622,164.83648681640625
2020-02-04,167.44545356772943,170.75390501577263,166.66087620777762,170.26235961914062
2020-02-05,173.95839049164914,174.11908498739666,168.64596691048436,170.05441284179688
2020-02-06,171.06580476348907,173.7598346269479,170.20560413495167,173.58023071289062
2020-02-07,172.84297337121157,175.47082810975607,172.49321295870286,173.8260498046875
2020-02-10,173.53297073949096,178.50509441167975,173.2210293650427,178.3727569580078
2020-02-11,180.21607754330697,180.26334402188803,173.45738939363605,174.345947265625
2020-02-12,175.42356297727224,175.67879043188398,171.89770278781828,174.60118103027344
2020-02-13,173.0603579564026,176.03795827229686,172.86184453761513,173.6558837890625
2020-02-14,173.22103937911754,175.26282971697995,172.65387058847747,175.20611572265625
2020-02-18,175.4518949292075,177.42750947945905,175.3479144568941,176.9832305908203
2020-02-19,178.25337813017842,178.36711595467847,176.7462941031497,177.51405334472656
2020-02-20,177.20126104182248,177.48562006806304,171.6563251140853,174.80319213867188
2020-02-21,173.6183629039544,173.9311563648692,168.00707065761887,169.27719116210938
2020-02-24,159.0214151505909,165.44786191190894,154.7181513655058,161.9787139892578
2020-02-25,165.1160881339019,165.72271383699095,158.90764439039998,159.30575561523438
2020-02-26,160.86022960459255,164.2250980795155,159.43844930371904,161.29623413085938
2020-02-27,154.8035013421261,158.3200311084721,149.74195067287758,149.9315185546875
2020-02-28,144.46239539589996,155.17314580344524,144.0737718821789,153.56178283691406
2020-03-02,156.68967642563902,163.90284290585905,153.8461156233935,163.7796173095703
2020-03-03,164.7369648639986,165.8743863348176,153.79872580292735,155.931396484375
2020-03-04,159.70387209335476,161.79862063132381,156.98352219099715,161.6564483642578
2020-03-05,157.3911109200166,161.9597582663655,157.04988300701586,157.59963989257812
2020-03-06,154.13046038681674,154.60438714349928,147.8651480849498,153.1446990966797
2020-03-09,143.1259208763582,149.5239338956656,142.17806709572008,142.76573181152344
2020-03-10,149.91250932333253,152.63284417285914,144.62348518857524,152.52857971191406
2020-03-11,148.9362468910333,149.47651594433142,143.2680717176468,145.61875915527344
2020-03-12,137.72311310044867,145.4670742719519,131.35353657797347,131.80850219726562
2020-03-13,139.80840891555962,153.46698304753858,133.3914358600728,150.54759216308594
2020-03-16,132.6995245572196,141.56196287538836,127.9602558230332,128.3583526611328
2020-03-17,132.69951982237052,139.8084226699975,127.96025125728585,138.9269256591797
2020-03-18,130.8038008732288,138.386629909358,127.97920110693828,133.07864379882812
2020-03-19,135.32507264150863,142.3202228977112,131.7516602526152,135.26820373535156
2020-03-20,138.38664247775617,139.4292873501573,128.77540638008531,130.18771362304688
2020-03-23,129.86540232404437,133.23977291994353,125.6095493819508,128.8891143798828
2020-03-24,136.2539396766585,141.79888839830375,133.90326706268647,140.60458374023438
2020-03-25,141.14488563874747,146.28225050950442,136.9079788119045,139.25865173339844
2020-03-26,140.66144949329478,148.49072843027395,140.63301504617567,147.9694061279297
2020-03-27,143.83677947196435,146.81303910788503,141.4197499720729,141.8936767578125
2020-03-30,144.49084339308502,152.2253342901318,142.18755101382314,151.87461853027344
2020-03-31,151.08785281104335,156.18730963025092,148.39595215161313,149.48599243164062
2020-04-01,145.02158279515615,149.52388683618224,142.955269145982,144.17799377441406
2020-04-02,143.94104566900393,147.3722710107029,142.51926529474,147.1637420654297
2020-04-03,147.01212796704385,149.17323344168187,144.25386997914237,145.808349609375
2020-04-06,151.95989162657898,157.8176197600713,149.3627676322206,156.65176391601562
2020-04-07,160.74652989617405,161.1351534432699,154.74661332944947,154.96463012695312
2020-04-08,157.03089277059914,157.97874630175247,154.97405234356808,156.51905822753906
2020-04-09,157.6849625327283,158.64228968699842,154.81296660681633,156.52857971191406
2020-04-13,155.7797730783277,156.9361558362128,153.83666995479288,156.8792724609375
2020-04-14,160.1872571452114,164.6895617099437,159.2394035526362,164.6421661376953
2020-04-15,162.2725509605704,164.5189740701982,160.4147658031758,162.91709899902344
2020-04-16,165.2109340606031,168.03553457135087,163.8839299516735,167.80804443359375
2020-04-17,170.13976003718153,170.6136869453631,166.6990460555909,169.2866973876953
2020-04-20,167.4193963415168,169.42884146949478,165.86491691998498,165.93125915527344
2020-04-21,164.4525877384879,164.613721103294,157.447950718237,159.06878662109375
2020-04-22,162.45262485910442,164.9265232869323,161.91235583811329,164.4715576171875
2020-04-23,165.03077686564262,165.93123481658628,161.99764849573384,162.48104858398438
2020-04-24,163.087684835539,165.4573187880793,161.80809117902592,165.44784545898438
2020-04-27,167.3815264466453,167.67535885860636,164.26309329838,164.97398376464844
2020-04-28,166.4336412831067,166.50947132086196,160.55695075653242,160.95504760742188
2020-04-29,164.1872620929299,168.41468260330234,162.9171412732649,168.17771911621094
2020-04-30,170.61363557217732,170.9927711993211,167.04022371080399,169.86483764648438
2020-05-01,166.6326372953001,169.324537588114,164.93597154192332,165.46678161621094
2020-05-04,165.39100504648349,169.6658202264792,164.73698364883285,169.51416015625
2020-05-05,171.2013007175261,174.0732957690794,170.51884501586025,171.33399963378906
2020-05-06,172.5852051098927,174.59465034524186,172.15867383336482,173.02120971679688
2020-05-07,174.56619370740268,174.926382699325,173.05910997240878,174.0259246826172
2020-05-08,175.3339958799369,175.35295700603842,173.79847731704947,175.0496368408203
2020-05-11,173.59942157303036,177.73206481211713,173.31507699714257,177.00222778320312
2020-05-12,177.05903642458475,177.28651200785853,172.79369568104167,172.99273681640625
2020-05-13,173.0306868403567,174.45246731650903,167.33407714285644,170.37669372558594
2020-05-14,168.28191004143457,171.26765735101736,166.5189018898924,171.11599731445312
2020-05-15,169.72272552512865,177.30555710512309,167.77014870737665,173.6089324951172
2020-05-18,176.06383283345417,176.49036412535662,174.36718099656215,175.26763916015625
2020-05-19,175.38135636493746,176.86949350940563,173.9216681354789,174.0543670654297
2020-05-20,175.66074821445315,176.64926983971034,174.8338232902232,176.4686737060547
2020-05-21,176.22148762180447,177.42861841763434,174.21594577347696,174.34901428222656
2020-05-22,174.12089846406892,175.3280292137114,173.50306901585824,174.425048828125
2020-05-26,177.11495937941368,177.26704182371978,172.13438260711965,172.58111572265625
2020-05-27,171.27893938264498,172.980331004467,167.85717121330865,172.80923461914062
2020-05-28,171.79218001595007,175.03335144358766,171.45000181643846,172.41949462890625
2020-05-29,173.68367206153434,175.1474401638824,171.47853469767063,174.1779327392578
2020-06-01,173.50306582205417,173.94029918509904,172.47654567180405,173.77871704101562
2020-06-02,175.12845379560204,175.8413240281486,172.3720280311082,175.7557830810547
2020-06-03,175.6701811543297,176.73472902431837,174.49156422443008,176.18344116210938
2020-06-04,175.17594339707023,176.6396969090423,173.2749565224485,173.8642578125
2020-06-05,173.57909636843632,178.43611811908195,172.99929482665513,177.93235778808594
2020-06-08,176.73478039775375,179.21556924712382,175.309040013136,179.03497314453125
2020-06-09,178.6927800443984,181.25910962308345,177.98940962513453,180.40367126464844
2020-06-10,181.66785837577257,188.69200596232676,181.55378927395938,187.0951690673828
2020-06-11,183.5687858589512,186.06857351440414,176.85830510903045,177.04840087890625
2020-06-12,181.1069873177415,182.228576955462,176.01234264068265,178.44561767578125
2020-06-15,175.44206065771127,181.3731442603551,174.90027249778666,179.58621215820312
2020-06-16,183.3406869206334,185.8975167043763,181.98148820479122,183.98703002929688
2020-06-17,185.3747390455772,186.60088373551318,184.10108128516464,184.6238555908203
2020-06-18,184.39575430738998,186.7624885400783,184.39575430738998,186.6009063720703
2020-06-19,188.75848446971048,189.42382696188116,184.7474010839948,185.48878479003906
2020-06-22,186.0971303068874,190.8210845257473,185.56485622646053,190.6405029296875
2020-06-23,192.0852512006235,193.85316990489886,191.45792193382675,191.91416931152344
2020-06-24,191.61950404139304,193.1878125857555,186.82900846349898,188.04563903808594
2020-06-25,188.00761269061277,190.6784970410009,185.79296114833386,190.42185974121094
2020-06-26,189.8420385082229,189.9941209296588,185.23215432254898,186.61036682128906
2020-06-29,186.08758992879393,188.7014466837992,183.96799378477183,188.61590576171875
2020-06-30,188.08365287961007,194.2808598745895,187.95058437366583,193.43492126464844
2020-07-01,193.083257178087,196.1343478236479,191.78108566908128,194.56602478027344
2020-07-02,195.4975248148834,197.72169095393087,194.85119610163304,196.04881286621094
2020-07-06,198.49156369076422,200.6777016892989,197.78819326414938,200.26898193359375
2020-07-07,200.03134453942326,204.04242807649197,197.69313876394023,197.9402618408203
2020-07-08,199.67017648667414,202.70223856853215,198.35849081572363,202.2935333251953
2020-07-09,205.6202645828633,205.66779215946096,201.00086550314717,203.70977783203125
2020-07-10,203.04440663081272,203.48164000033935,200.6301596435578,203.09193420410156
2020-07-13,203.86182504239108,205.11648332076217,196.27689159753407,196.8186798095703
2020-07-14,195.92524248850216,198.51058613625617,192.02821308469305,198.03533935546875
2020-07-15,199.18540043368412,200.86777786204274,194.87966636549174,197.7406463623047
2020-07-16,195.23134167200274,195.51649259722572,192.29432049997686,193.82461547851562
2020-07-17,194.34737099125022,194.88914464381924,191.4198498148425,192.83609008789062
2020-07-20,194.85117236676646,201.78977799074687,192.95968503330636,201.1244354248047
2020-07-21,203.08242289101383,203.34855988217507,197.73114041936344,198.41549682617188
2020-07-22,198.84323696936167,201.7897726158241,198.07333955618,201.26699829101562
2020-07-23,196.93274275439686,200.47807930746816,192.14224758300097,192.512939453125
2020-07-24,190.4978964459514,192.81710279590382,187.73195701203042,191.33433532714844
2020-07-27,191.49589312385507,193.87212645839105,190.91609161009322,193.75807189941406
2020-07-28,193.53000388839655,194.56603843914536,191.7525854845081,192.0187225341797
2020-07-29,192.47495022909868,194.51850562770954,192.00920315300615,193.9577178955078
2020-07-30,191.04920798725416,194.33792212812435,189.69000914080848,193.80563354492188
2020-07-31,194.2808703677026,194.94622743673912,189.15771085707848,194.8606719970703
2020-08-03,201.04840274562122,206.86541871701198,200.02186795595566,205.8198699951172
2020-08-04,203.56716697112796,204.1374688047289,199.89826191685304,202.73072814941406
2020-08-05,204.26104567065477,204.3561008212258,201.09591510463036,202.39808654785156
2020-08-06,201.8277788907073,205.65826639464163,201.07689543479427,205.63926696777344
2020-08-07,204.2135098766214,205.02142055306317,200.48756303882877,201.96083068847656
2020-08-10,201.19094771383908,201.3905577207116,196.13433007915847,197.9402618408203
2020-08-11,196.90425062787259,197.36998319308316,193.08326243132456,193.31138610839844
2020-08-12,195.1268218072775,199.86979002066158,194.61356165253872,198.83375549316406
2020-08-13,199.07135133423577,200.88679731225912,197.8452066566346,198.36798095703125
2020-08-14,198.42500644894537,199.21391774906647,197.23688964214472,198.55807495117188
2020-08-17,199.22342242623313,200.73470345130764,198.57707937252545,199.8697509765625
2020-08-18,200.1073868408774,201.84679161192986,198.85274301626632,201.01986694335938
2020-08-19,201.50578180907098,202.08698492364027,199.37152465065776,199.80027770996094
2020-08-20,199.6478303586499,204.85007589217304,199.04758188287093,204.4499053955078
2020-08-21,203.76391835685175,206.0410886510413,202.8016045176839,202.9635772705078
2020-08-24,204.6499901784463,205.34553813622844,202.4014026425913,203.6019287109375
2020-08-25,203.03983041578405,206.38412262139815,203.03983041578405,206.250732421875
2020-08-26,207.59414589811615,211.60538860405137,207.0986904162652,210.7097625732422
2020-08-27,212.3676361540944,220.23768646081993,209.0423895356834,215.88343811035156
2020-08-28,217.40787607007542,219.75174867918676,215.8834189640669,218.10342407226562
2020-08-31,216.28356909931804,217.90331098224215,213.72055883978842,214.88296508789062
2020-09-01,214.86391091647602,216.71232793524112,213.83489480690253,216.54083251953125
2020-09-02,217.207801074862,221.86694924784757,216.61707521022916,220.7140655517578
2020-09-03,218.4464303584892,218.4845356074586,204.81199137013098,207.04151916503906
2020-09-04,204.94537631657883,208.0514701428707,195.50321280100798,204.135498046875
2020-09-08,196.75138131717694,200.11473306475375,192.65437628036617,193.09266662597656
2020-09-09,197.79942927592472,204.69762722495835,196.9419086014435,201.31521606445312
2020-09-10,203.32562487927262,204.60237606499447,194.47420152382745,195.67471313476562
2020-09-11,197.41829498533878,198.7807936939121,191.73966868940005,194.39794921875
2020-09-14,194.5981112274879,199.32394819822275,194.39801864638477,195.71287536621094
2020-09-15,198.5806854768132,199.87648173353122,197.1610217459034,198.92369079589844
2020-09-16,200.67689773691774,200.70548031266912,194.97920986822862,195.36985778808594
2020-09-17,190.60585800070598,194.6838026501684,190.5201102929385,193.33084106445312
2020-09-18,193.22605507235494,194.03591885589844,186.9852699078693,190.92982482910156
2020-09-21,187.88087836630214,193.1402892819436,187.109119905432,192.97830200195312
